la,lo,s
51.0961,-2.7124,3
53.5553,-2.4004,3
53.5466,-2.3995,2
53.5535,-2.2975,3
53.3941,-2.2446,3
53.4124,-2.2311,3
53.4607,-2.1915,3
53.3931,-2.2715,3
53.4859,-2.3822,3
53.5034,-2.3143,2
53.3554,-2.1999,3
53.3818,-2.1241,3
53.4667,-2.3123,2
53.4078,-2.814,3
53.3979,-2.9387,3
53.3813,-2.961,3
53.4352,-2.9681,3
53.3522,-2.8512,3
53.3805,-2.9733,3
53.4569,-2.9163,2
53.4564,-2.6322,3
53.6349,-3.0162,3
53.4745,-3.022,3
53.4562,-2.9719,3
53.656,-2.9917,2
53.5704,-1.0206,3
53.5168,-1.0484,3
53.3806,-1.2114,2
53.4435,-1.3147,3
53.5022,-1.3172,3
53.4279,-1.4788,3
53.3711,-1.4898,2
55.0036,-1.6203,3
54.9673,-1.6896,3
54.9753,-1.5952,3
55.0121,-1.6605,2
52.4776,-1.8116,3
52.5606,-1.7708,3
52.4646,-1.8154,3
52.47,-1.92,3
52.4759,-1.8172,3
52.4715,-1.842,3
52.4796,-1.8993,3
52.4079,-1.976,3
52.4522,-1.8312,3
52.4709,-1.9115,2
52.4644,-1.8908,3
52.5,-1.8024,3
52.4371,-1.4715,3
52.3963,-1.5168,3
52.4242,-1.7943,3
52.6178,-1.9334,3
52.5939,-2.0414,3
52.6254,-1.9717,2
52.6073,-2.0654,3
52.5848,-2.1162,3
52.5833,-2.1206,3
53.75,-1.7503,3
53.8069,-1.785,3
53.592,-1.8504,2
53.6894,-1.6346,3
53.58,-1.7689,2
53.6783,-1.6656,2
53.8027,-1.533,2
53.8158,-1.5227,3
53.8049,-1.6424,2
53.9149,-1.6883,2
53.8212,-1.5777,3
53.7081,-1.3885,3
54.8873,-1.5595,3
51.5475,0.1289,3
51.5517,0.1072,3
51.5253,0.0986,3
51.6151,-0.159,2
51.616,-0.1509,3
51.587,-0.209,3
51.4649,0.1675,3
51.553,-0.3141,3
51.5524,-0.2103,3
51.5584,-0.2853,3
51.5298,-0.2155,3
51.5587,-0.2537,3
51.5369,-0.2574,3
51.5538,-0.2308,3
51.416,-0.0724,3
51.5429,-0.1742,3
51.5469,-0.1367,3
51.3656,-0.1178,3
51.3265,-0.1305,3
51.4127,-0.1241,3
51.5109,-0.3188,3
51.5278,-0.3162,3
51.5056,-0.3196,3
51.6114,-0.0652,3
51.6149,-0.0523,3
51.6145,-0.0645,3
51.6201,-0.1174,2
51.6173,-0.1413,2
51.4735,-0.0072,3
51.5684,-0.0735,3
51.5236,-0.0758,3
51.5657,-0.0731,3
51.566,-0.0619,3
51.5408,-0.0765,2
51.4706,-0.2023,3
51.5064,-0.2354,3
51.4689,-0.1908,3
51.5913,-0.142,3
51.5948,-0.0692,3
51.5801,-0.0822,3
51.5865,-0.0956,3
51.5895,-0.308,3
51.579,-0.3372,3
51.5924,0.2326,3
51.543,0.2948,3
51.5987,0.1633,3
51.5591,-0.3852,3
51.4912,-0.269,3
51.4895,-0.2465,3
51.4638,-0.385,3
51.4751,-0.3376,3
51.5466,-0.0997,3
51.5498,-0.1281,3
51.4779,-0.1837,2
51.4908,-0.1613,3
51.4112,-0.3009,3
51.4129,-0.3033,3
51.3899,-0.2979,3
51.4108,-0.2987,3
51.4653,-0.1294,3
51.421,-0.1287,3
51.4343,-0.1038,3
51.4141,-0.138,3
51.4825,-0.1115,3
51.4545,-0.0025,3
51.4493,-0.0299,3
51.4645,-0.0149,3
51.4041,-0.1724,3
51.4096,-0.229,3
51.4204,-0.2055,3
51.5226,0.0232,3
51.5175,0.0118,3
51.5321,0.0489,3
51.5749,0.0669,3
51.6043,0.1357,3
51.5494,0.0856,3
51.5064,-0.1025,3
51.5195,-0.0576,2
51.525,-0.0347,2
51.6193,0.0025,3
51.5605,-0.0212,3
51.6095,-0.025,3
51.6273,0.0096,3
51.4709,-0.1588,3
51.4702,-0.1712,2
51.4672,-0.1627,3
51.4488,-0.1896,2
51.4573,-0.1943,3
51.4448,-0.1519,3
51.5169,-0.171,3
51.5,-0.1745,3
52.1263,0.2258,3
52.2953,-0.256,3
52.312,0.0609,3
52.2267,0.1118,2
52.1678,0.119,3
52.9623,-1.2957,2
52.8904,-1.5276,3
53.0176,-1.3205,2
53.296,-1.9747,3
52.9494,-1.314,3
53.2441,-1.3346,3
50.6561,-3.5413,3
50.4563,-4.1051,2
50.8704,0.6049,3
51.0343,0.0553,3
50.9886,0.0648,3
50.7949,0.0504,3
50.9902,0.1356,3
51.649,0.6085,3
51.7264,0.4819,3
51.5715,0.4544,3
51.6885,0.1355,3
51.5858,0.4101,3
51.5692,0.4523,3
51.7539,0.0099,3
51.5992,0.5275,3
51.6727,0.0947,2
51.9037,0.8981,2
51.7147,-2.2894,3
51.6705,-1.9022,3
51.8995,-1.7504,2
50.8476,-1.1813,3
51.3129,-0.7571,3
50.8476,-0.9396,3
50.7593,-1.6699,2
51.3138,-1.1173,3
51.7873,-0.0463,3
51.8671,0.1643,3
51.665,-0.3615,3
51.6609,-0.3935,3
52.0477,-0.0434,3
51.767,-0.4571,3
51.7537,-0.5671,3
51.6438,-0.2989,3
51.7171,-0.0737,3
51.7676,-0.0106,3
51.7164,-0.2859,3
51.714,-0.4671,2
51.7186,-0.295,2
51.1655,1.3561,3
51.2524,0.6345,3
51.1929,0.2725,3
51.3433,0.7167,3
51.3795,1.4452,1
51.2839,1.0295,3
51.2661,0.3611,3
51.3979,0.4425,3
51.1106,0.8539,3
53.8821,-3.0392,3
54.107,-2.7965,3
53.6892,-2.6954,2
53.7158,-2.5597,3
53.6691,-2.9064,3
54.0624,-2.8011,3
54.048,-2.7999,3
53.7899,-2.2218,3
53.6058,-2.5627,2
53.8164,-2.2529,3
53.7536,-2.7094,2
52.4841,-1.1919,3
52.7862,-1.3213,3
52.6462,-1.2007,3
52.7121,-1.1025,3
53.2929,-0.5194,3
