Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
18/01/2023;18:45;VIA DI GIORGIO ANTONINO GEN. di fronte al civico 26;1;F;38,144241;13,344352
18/01/2023;19:05;PIAZZA CASTELNUOVO altezza del civico 50;1;F;38,124837;13,354914
18/01/2023;19:25;VIA UDITORE altezza del civico 36;1;F;38,133626;13,322207
19/01/2023;07:35;VIALE REGIONE SICILIANA N.O. nr. 6915;1;F;38,160145;13,312553
19/01/2023;08:08;VIA NOTARBARTOLO EMANUELE intersezione LARGO CHERUBINI LUIGI;2;F;38,130995;13,338764
19/01/2023;13:30;VIA CAMPOLO GIOVANNI in prossimit? di largo mineo;0;C;38,128988;13,336877
19/01/2023;15:40;VIALE DE GASPERI ALCIDE intersezione VIA AUSONIA;0;C;38,149732;13,334677
19/01/2023;17:30;VIA DANTE intersezione con VIA VENEZIANO ANTONIO;0;C;38,122295;13,344622
19/01/2023;17:45;VIA GALLETTI nr. 143;1;F;38,094633;13,429873
19/01/2023;19:45;VIA ABRUZZI altezza del civico 15;1;F;38,144504;13,334288
19/01/2023;22:45;VIA PALLAVICINO intersezione PIAZZA PALLAVICINO;1;F;38,172427;13,327231
19/01/2023;23:30;VIA ARCOLEO GIORGIO intersezione con VIA SALAMONE MARINO SALVATORE;0;C;38,107876;13,360508
20/01/2023;03:30;PIAZZA VITTORIO VENETO di fronte al civico 20;0;C;38,145455;13,342486
20/01/2023;04:00;VIA MONTEPELLEGRINO di fronte mercato ortofr.;0;C;38,137219;13,358392
20/01/2023;11:00;VIA SCOTO MICHELE di fronte al civico 12;0;C;38,11448;13,333884
20/01/2023;13:00;VIA S.LORENZO altezza 271/b;0;C;38,165655;13,317752
20/01/2023;15:30;LUNGOMARE COLOMBO CRISTOFORO altezza del civico 3743;0;C;38,188991;13,353074
20/01/2023;16:10;VIA BRIUCCIA intersezione VIA RESUTTANA;1;F;38,153242;13,334785
20/01/2023;17:00;VIA ISONZO altezza del civico 2;0;C;38,142219;13,3423
20/01/2023;17:00;VIA LANZA DI SCALEA GIUSEPPE nr. 2180;0;C;38,182783;13,304125
