procom,dzcom,pop_2018,var_perc,ivsm,agmax_50,e31_pct,a7,a7_pct,persone_per_abitazione,erecq_txt
095057,Siamanna,809,-1.701093560145808,94.332419066149,0.05,1.441,60,15.873,2.14,entro il 2000
095076,Siapiccia,353,-4.8517520215633425,100.80436520510973,0.05,2.222,50,26.455,1.868,entro il 1990
095058,Simala,315,-11.51685393258427,101.29730425023405,0.05,9.223,63,28.636,1.432,entro il 1990
095059,Simaxis,2227,-3.5930735930735933,99.69516448317678,0.05,0.692,148,14.51,2.183,entro il 1990
095060,Sini,529,3.3203125,97.94729159386323,0.05,0.935,105,31.722,1.598,entro il 1980
095061,Siris,231,3.125,97.83783681027806,0.05,7.273,30,25.424,1.958,entro il 1990
095078,Soddì,118,1.7241379310344827,95.74893531404567,0.05,0.0,31,35.632,1.356,entro il 1990
095062,Solarussa,2400,-2.7946537059538272,99.6790209961162,0.05,4.527,195,16.667,2.051,entro il 1980
095063,Sorradile,363,-12.530120481927712,98.54563605647759,0.05,0.625,136,40.841,1.09,entro il 1970
095087,Suni,1073,-4.9601417183348095,98.99815165034887,0.05,0.926,258,32.866,1.367,entro il 1990
095064,Tadasuni,146,-20.21857923497268,100.20293726547266,0.05,0.0,56,40.288,1.05,entro il 1980
095065,Terralba,10196,-2.2435282837967403,99.97256513241852,0.05,1.371,984,20.061,2.079,entro il 1990
095088,Tinnura,242,-9.022556390977442,95.26152534726364,0.05,2.21,83,42.784,1.247,entro il 1990
095066,Tramatza,961,-3.319919517102616,100.85454512101194,0.05,0.426,149,28.22,1.82,entro il 2000
095067,Tresnuraghes,1163,-4.042904290429043,99.13074102991806,0.05,1.059,931,62.191,0.777,entro il 2000
095068,Ulà Tirso,564,-2.2530329289428077,105.29892486246487,0.05,0.0,221,47.122,1.203,entro il 2000
095069,Uras,2825,-4.39932318104907,98.10459916580075,0.05,0.081,278,19.159,1.947,entro il 1990
095070,Usellus,765,-10.316529894490035,98.71014620682452,0.05,0.495,75,16.741,1.708,entro il 1980
095048,Villa Sant'Antonio,355,-6.33245382585752,100.13033303812328,0.05,3.292,82,33.198,1.437,entro il 1980
095073,Villa Verde,308,-7.228915662650602,100.20922437121295,0.05,0.469,67,30.734,1.413,entro il 1980
095071,Villanova Truschedu,301,-6.521739130434782,96.2963627953826,0.05,0.0,66,32.512,1.483,entro il 2000
095072,Villaurbana,1631,-5.885747259088286,97.61727200663921,0.05,3.935,147,17.754,1.97,entro il 1990
095074,Zeddiani,1162,-0.1718213058419244,99.54581737002815,0.05,1.033,134,23.264,2.017,entro il 1990
095075,Zerfaliu,1075,-8.198121263877029,99.28803912651033,0.05,4.242,125,22.894,1.969,entro il 1990
090001,Aggius,1482,-7.721046077210461,98.17390765733536,0.05,0.274,173,21.279,1.823,entro il 1990
090062,Aglientu,1249,7.1183533447684395,99.84782170141955,0.05,0.46,2425,80.271,0.413,entro il 2000
090002,Alà dei Sardi,1853,-5.1203277009728625,102.73127834698313,0.05,0.389,315,27.632,1.625,entro il 1990
090003,Alghero,43979,8.325328210054435,98.59427689082777,0.05,3.263,9784,35.216,1.583,entro il 1990
090004,Anela,630,-6.528189910979229,98.41433259325618,0.05,3.081,153,33.85,1.394,entro il 1980
090005,Ardara,778,-2.75,100.17703965129256,0.05,1.078,95,21.689,1.776,entro il 1990
090006,Arzachena,13756,19.972091400662826,99.88897230542916,0.05,0.472,11495,70.517,0.844,entro il 2000
090081,Badesi,1873,-1.1609498680738786,99.85742658933428,0.05,0.474,2182,72.371,0.621,entro il 2000
090007,Banari,569,-7.026143790849673,99.44699678682629,0.05,0.295,441,59.918,0.773,entro il 2000
090008,Benetutti,1819,-7.618080243778567,100.19072101088703,0.05,0.508,189,21.526,2.072,entro il 1980
090009,Berchidda,2749,-5.141476880607315,97.7363081134663,0.05,2.065,703,37.898,1.482,entro il 1980
090010,Bessude,410,-3.9812646370023423,98.41816036857006,0.05,7.358,169,46.685,1.133,entro il 1980
